Command: dnf history

    Called from: 

ID     | Command line                                                                                                                          | Date and time    | Action(s)      | Altered
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   891 | install --refresh proton-vpn-gnome-desktop -y                                                                                         | 2024-09-08 14:14 | Install        |   17   
   890 | install ./protonvpn-beta-release-1.0.1-2.noarch.rpm                                                                                   | 2024-09-08 14:13 | Install        |    1   
   889 | remove protonvpn* proton-vpn-gnome-desktop                                                                                            | 2024-09-08 14:13 | Removed        |   18   
   888 | install --refresh proton-*                                                                                                            | 2024-09-08 14:10 | Install        |   34   
   887 | install ./protonvpn-beta-release-1.0.1-2.noarch.rpm                                                                                   | 2024-09-08 14:10 | Install        |    1   
   886 | remove proton-vpn*                                                                                                                    | 2024-09-08 14:08 | Removed        |   34   
   885 | remove protonvpn*                                                                                                                     | 2024-09-08 14:08 | Removed        |    1   
   884 | group install workstation-product-environment -y                                                                                      | 2024-09-08 13:45 | Install        |  206 EE
   883 | install dbus* -y --best --allowerasing                                                                                                | 2024-09-08 13:33 | Install        |   40 EE
   882 | group install Multimedia                                                                                                              | 2024-09-08 13:23 | Install        |    1   
   881 | group install kde-desktop kde-desktop-environment                                                                                     | 2024-09-08 13:00 | Install        |   15   
   880 | group upgrade kde-desktop kde-desktop-environment                                                                                     | 2024-09-08 13:00 | Upgrade        |   15   
   879 | group update kde-desktop kde-desktop-environment                                                                                      | 2024-09-08 13:00 | Upgrade        |   15   
   878 | reinstall fedora-release-kde --best --debugsolver --allowerasing -y                                                                   | 2024-09-08 12:59 | R              |    2   
   877 | reinstall fedora-release* --best --allowerasing -y                                                                                    | 2024-09-08 12:49 | R              |   10   
   876 | install kde-l10n-ja.noarch                                                                                                            | 2024-09-08 12:34 | Install        |    1   
   875 | install kde-l10n-it.noarch                                                                                                            | 2024-09-08 12:27 | Install        |    1   
   874 | install kde-l10n-is.noarch                                                                                                            | 2024-09-08 12:26 | Install        |    1   
   873 | install kde-l10n-id.noarch                                                                                                            | 2024-09-08 12:26 | Install        |    1   
   872 | install kde-l10n-ia.noarch                                                                                                            | 2024-09-08 12:26 | Install        |    1   
   871 | install kde-l10n-hu.noarch                                                                                                            | 2024-09-08 12:26 | Install        |    1   
   870 | install kde-l10n-hr.noarch                                                                                                            | 2024-09-08 12:26 | Install        |    1   
   869 | install kde-l10n-hi.noarch                                                                                                            | 2024-09-08 12:25 | Install        |    1   
   868 | install kde-l10n-he.noarch                                                                                                            | 2024-09-08 12:25 | Install        |    1   
   867 | install kde-l10n-gl.noarch                                                                                                            | 2024-09-08 12:25 | Install        |    1   
   866 | install kde-l10n-ga.noarch                                                                                                            | 2024-09-08 12:25 | Install        |    1   
   865 | install kde-l10n-fr.noarch                                                                                                            | 2024-09-08 12:25 | Install        |    1   
   864 | install kde-l10n-fi.noarch                                                                                                            | 2024-09-08 12:24 | Install        |    1   
   863 | install kde-l10n-fa.noarch                                                                                                            | 2024-09-08 12:22 | Install        |    1   
   862 | install kde-l10n-eu.noarch                                                                                                            | 2024-09-08 12:22 | Install        |    1   
   861 | install kde-l10n-et.noarch                                                                                                            | 2024-09-08 12:22 | Install        |    1   
   860 | install kde-l10n-es.noarch                                                                                                            | 2024-09-08 12:22 | Install        |    1   
   859 | install kde-l10n-eo.noarch                                                                                                            | 2024-09-08 12:22 | Install        |    1   
   858 | install kde-l10n-en_GB.noarch                                                                                                         | 2024-09-08 12:22 | Install        |    1   
   857 | install kde-l10n-el.noarch                                                                                                            | 2024-09-08 12:22 | Install        |    1   
   856 | install kde-l10n-de.noarch                                                                                                            | 2024-09-08 12:22 | Install        |    1   
   855 | install kde-l10n-da.noarch                                                                                                            | 2024-09-08 12:22 | Install        |    1   
   854 | install kde-l10n-cs.noarch                                                                                                            | 2024-09-08 12:21 | Install        |    1   
   853 | install kde-l10n-ca.noarch                                                                                                            | 2024-09-08 12:21 | Install        |    1   
   852 | install kde-l10n-bs.noarch                                                                                                            | 2024-09-08 12:21 | Install        |    1   
   851 | install kde-l10n-bg.noarch                                                                                                            | 2024-09-08 12:21 | Install        |    1   
   850 | install kde-l10n-ast.noarch                                                                                                           | 2024-09-08 12:21 | Install        |    1   
